word,translation,definition,example_usage
infallible,犯错,"Incapable of making mistakes or being wrong.
","The computer program, while complex, was considered infallible in its calculations.
"
infamy,骂名,"Widely known for something exceptionally bad or wicked.
","The dictator's infamy spread far and wide, ensuring his name would forever be associated with cruelty and oppression.
"
infantilize,幼稚化,"To treat someone as if they are much younger, less competent, or less mature than they actually are.
","By constantly praising his adult son's minor accomplishments, she infantilized him and prevented him from developing true independence.
"
infestation,侵扰,"A large number of unwanted organisms, typically insects or parasites, have overrun a place and are causing problems.
","The farmer discovered a serious ant infestation in his wheat field.
"
infiltrator,渗透者,"Someone who secretly enters a group or organization, usually for hostile purposes.
","The infiltrator, disguised as a cleaning crew member, planted the listening device in the CEO's office.
"
infinitesimal,无穷小,"Immeasurably small; smaller than any assignable quantity.
","The difference in their test scores was infinitesimal, practically zero.
"
infirmary,疗养,"A place where people who are ill or injured receive medical care, often within an institution like a school or other large organization.
","The injured player was taken to the infirmary for treatment.
"
infirmity,虚弱,"A weakness or ailment, often chronic or long-lasting, that affects the body or mind.
","His aging father's increasing infirmity made it difficult for him to care for himself.
"
infraction,违法,"A violation of a rule or law, often a minor one.
","Parking in a handicapped spot without a permit is an infraction.
"
infraction,违规,"a violation of a rule or law. It's a breach of a rule or regulation, often resulting in a penalty or punishment.","Parking in a handicapped space is an infraction that can result in a hefty fine.
"
ingenious,巧妙,"Cleverly and skillfully devised and inventive.
","The ingenious contraption of gears and levers effortlessly lifted the heavy stone.
"
ingenuity,匠心,"The ability to invent clever and original solutions to problems; cleverness and inventiveness.
","The engineer's ingenuity was evident in the surprisingly simple solution to a complex problem.
"
inglourious,无耻的,"Dishonorable; shameful; ignominious.  Marked by or causing disgrace or shame.
","The general's inglorious defeat ended his military career.
"
ingrate,感化,"A person who shows no gratitude; someone who is unthankful.
","After all I've done for him, he's such an ingrate; he didn't even send a thank-you note.
"
ingratiate,迎合,"gain favor with someone by deliberate effort, often through flattery or obsequious behavior. It implies a conscious attempt to win someone's approval or liking","To ingratiate himself with his new boss, he brought in donuts every Friday.
"
ingratiating,讨好,"Designed to gain favor or approval; charming or flattering excessively, often in a way that seems insincere.
","With an ingratiating smile, she offered the boss a cup of coffee.
"
inimical,不友好的,"Harmful, unfriendly, or unfavorable.
","The harsh desert climate, with its scorching sun and scarce water, is inimical to human life.
"
inimitable,无比,unique and impossible to imitate. It's often used to describe someone or something that is exceptionally talented or stylish.,"The comedian's inimitable style of delivery had the audience in stitches.
"
inimitably,无可非议,"In a way that is so unique and special it cannot be copied or imitated.
","The comedian delivered his jokes inimitably, his timing and phrasing utterly unique and unforgettable.
"
iniquitous,不公正,"Grossly unfair and morally wrong.
","The iniquitous tax laws disproportionately burdened the poor.
"
inkling,暗示,a slight suggestion or vague idea. It's like a tiny hint or a glimmer of understanding.,"I had an inkling that she was unhappy, but I couldn't quite put my finger on why.
"
inlaid,镶嵌,"Decorative pieces of material, such as wood, metal, or stone, are embedded into a surface to create a design.
","The antique table featured a beautifully inlaid mother-of-pearl design.
"
innocuous,无害的,"Harmless; not likely to offend or cause any problems.
","He offered an innocuous compliment, simply saying, ""That's a nice shirt.""
"
innuendo,影射,"A veiled or indirect suggestion, especially of something improper or indelicate.  It hints at something without explicitly stating it.
","Her comment about his ""interesting"" choice of tie was filled with innuendo, suggesting he lacked good taste and possibly judgment in other areas as well.
"
inquest,询问,"A formal inquiry, often by a jury, into the cause of someone's death.
","The inquest into the death of the young man determined that it was accidental.
"
inscrutability,不可理解性,"The quality of being impossible to understand or interpret.
","The inscrutability of the Sphinx's expression only added to its mystique.
"
inscrutable,难以捉摸,"Impossible to understand or interpret.
","The Sphinx, with its inscrutable smile, has guarded the secrets of Egypt for millennia.
"
inscrutable,深不可测的,"Impossible to understand or interpret.
","The Sphinx, with its inscrutable gaze, has guarded the secrets of the pyramids for millennia.
"
inscrutable,高深莫测,"Difficult to understand or interpret; mysterious.
","The Sphinx, with its inscrutable gaze, has guarded the secrets of the pyramids for millennia.
"
insidious,阴险,"It proceeds subtly and gradually, often with harmful effects that are not immediately apparent.
","The insidious spread of the rumors damaged her reputation irreparably.
"
insipid,平淡,"Lacking flavor, zest, or interest; dull.
","The soup was insipid, lacking any herbs or spices.
"
insolent,粗野,"Showing a rude and arrogant lack of respect.
","The insolent child stuck his tongue out at the teacher.
"
insouciance,漫不经心,"A casual lack of concern; indifference.  A carefree feeling or attitude.
","She strolled through the bustling marketplace with an air of insouciance, seemingly unfazed by the crowds and chaos.
"
insouciant,漫不经心,"Carefree and nonchalant; showing a lack of concern.
","With an insouciant shrug, she tossed her hair and strolled away from the argument.
"
inspissated,浓缩,"Thickened, usually by evaporation of a liquid.
","The witch stirred the inspissated, bubbling concoction in her cauldron.
"
inspissated gloom,凝重的阴郁,"A thickened, intensified darkness; a deep, heavy, and almost palpable gloom.
","The inspissated gloom of the abandoned cathedral pressed down on us, thick and suffocating like a physical weight.
"
instantiate,实例化,"To create a specific instance or example of something abstract or general.
","The programmer instantiated a new object of the `User` class to represent the logged-in user.
"
instigate,煽动,"To provoke or stir up (a violent or undesirable event).
","The disgruntled employee instigated a revolt by leaking confidential information to the press.
"
insularity,偏狭,"A narrow-mindedness or isolation from outside influences, often accompanied by a lack of understanding or interest in other cultures or perspectives.  It can also refer to the state of being isolated geographically.
","The island nation's insularity, fostered by its geographical isolation, prevented the adoption of many modern technologies.
"
insulator,绝缘子,"A material that resists the flow of heat, electricity, or sound.
","Fiberglass acts as an insulator in the walls of the house, preventing heat loss in winter.
"
insurgent,叛乱分子,"A person who rebels or rises in defiance against established authority or a government.
","The insurgent group launched a surprise attack on the government's military base.
"
insurmountable,不可逾越,"Too great to be overcome.
","The hikers faced an insurmountable wall of rock, forcing them to find a different route down the mountain.
"
insurrection,起义,"A violent uprising against an established authority or government.
","The insurrection at the capitol building resulted in widespread condemnation.
"
intercede,说情,"To plead on behalf of someone else; to act as a mediator or go-between to resolve a conflict or improve a situation.
","The union leader agreed to intercede on behalf of the striking workers.
"
interlocutor,对话者,"A person who takes part in a dialogue or conversation.
","The interlocutor paused, considering the implications of the witness's testimony before continuing with his questioning.
"
interminable,无限的,"Seemingly without end; unending.
","The interminable lecture seemed to stretch on forever.
"
internecine,自相残杀,"Characterized by conflict or struggle within a group or organization.
","The company's internecine struggles between the marketing and sales departments hampered productivity and ultimately cost them a major contract.
"
internment,拘留,"The confinement or imprisonment of people, often without trial, especially during times of war or emergency.
","The internment of Japanese Americans during World War II remains a controversial chapter in US history.
"
Interoperability,互操作性,"The ability of different systems or components to work together seamlessly, exchanging information and sharing resources.
","The hospital's new electronic health records system boasts excellent interoperability, allowing seamless data sharing with other healthcare providers in the region.
"
intersperse,穿插,"To scatter or place things at intervals among other things.
","The baker interspersed chocolate chips throughout the cookie dough.
"
intone,吟诵,"To utter or recite something in a particular tone of voice, often in a monotonous or singsong way.
","The priest intoned the ancient prayer in a low, resonant voice.
"
intractable,难以解决,"Stubbornly refusing to change one's opinion or course of action.  Difficult to manage or control.
","The intractable problem of world hunger continues to defy easy solutions.
"
intramural,壁间,"Taking place within a single institution or organization, often involving competition between its members.
","The intramural basketball league was highly competitive, even though it was just for students within the university.
"
intransigence,不妥协,"An unwillingness to compromise or change one's views.
","The union's intransigence in negotiations led to a prolonged strike.
"
intransigent,不妥协的,"Unwilling to compromise or change one's views.
","Despite overwhelming evidence, the intransigent defendant refused to plead guilty.
"
intransigent,妥协,"Unwilling to compromise or change one's views; stubborn.
","Despite overwhelming evidence, the intransigent defendant refused to plead guilty.
"
intravenous,静脉,"Administered directly into a vein.
","The patient received an intravenous injection of antibiotics.
"
intrepid,强悍,"Showing courage in the face of danger or difficulty; fearless.
","The intrepid explorer ventured deep into the uncharted jungle.
"
inundate,淹没,"To overwhelm with a large amount of something, typically water or information.
","The coastal town was inundated by the rising floodwaters.
"
inundate,漫,"To overwhelm with a large amount of something, typically water, but also things like requests or information.
","The coastal town was inundated by the rising floodwaters.
"
inundated,被淹没,"Overwhelmed by a large amount of something, typically requests or information.
","After the hurricane, the coastal town was inundated with floodwater.
"
inundated,淹没,"Overwhelmed by an abundance of something, typically requests, information, or problems.
","The small coastal town was inundated by the rising tide.
"
inured,已康复的,"Made less sensitive to something through prolonged exposure.
","After years of working in the emergency room, she was inured to the sight of blood.
"
invective,谩骂的,"Abusive or venomous language used to express blame or censure.
","The politician's speech was filled with invective, targeting his opponent with a barrage of insults and accusations.
"
inveterate,根深蒂固,"A person who is stubbornly committed to a habit or belief, especially one that is bad or wrong.  They've done it for so long it's deeply ingrained.
","He was an inveterate gambler, losing his savings on a single poker game.
"
invigorate,活跃,"To fill with life, energy, or spirit; to revitalize.
","The strong coffee invigorated me enough to tackle the mountain of paperwork.
"
invigorating,朗朗,"Giving energy and vitality; refreshing and stimulating.
","The invigorating mountain air filled my lungs and chased away the fatigue.
"
invocation,调用,"The act of calling upon someone or something for assistance, especially a deity or spirit;  or the act of calling a program or routine into action.
","The priest's invocation of ancient gods began the ceremony.
"
involuted,卷曲的,"Highly complex or intricate, often to the point of being confusing or difficult to understand.
","The novel's plot became increasingly involuted, with nested flashbacks and unreliable narrators obscuring the central mystery.
"
inwardly,里面,"In one's mind or heart; privately; secretly.
","Inwardly, she groaned at the thought of another tedious meeting.
"
iota of,一点点,"The smallest imaginable amount; a tiny bit.
","He didn't have an iota of evidence to support his claim.
"
irascible,暴躁,"Easily provoked to anger; irritable.
","The irascible old man yelled at the children for accidentally stepping on his lawn.
"
irate,发怒的,"Feeling or characterized by intense anger.
","The irate customer slammed the phone down after being put on hold for an hour.
"
ire,愤怒,"A feeling of intense anger and annoyance.
","His blatant disregard for the rules ignited the professor's ire.
"
ire,生气,"A feeling of intense anger.
","The teacher's ire was roused by the students' disruptive behavior.
"
iridescent,彩虹色的,"Showing luminous colors that seem to change when seen from different angles.
","The iridescent beetle's shell shimmered with greens and blues as it crawled across the leaf.
"
irk,激怒,"To annoy or irritate.
","The constant dripping of the faucet began to irk her.
"
irksome,讨厌的,"Annoyingly tedious or tiresome.
","The irksome task of alphabetizing thousands of library books took all afternoon.
"
ironclad,铁定的,"Something that is completely impervious to attack, criticism, or change.  It is unbreakable and certain.
","The defense attorney presented an ironclad alibi for his client.
"
irreverent,不敬,"Showing a lack of respect for people or things that are generally taken seriously.
","The comedian's irreverent jokes about the royal family had the audience roaring with laughter.
"
islet,坻,"A small island.
","A tiny islet, barely visible from the shore, sat nestled amongst the larger islands.
"
iterative,迭代,"A process that repeats a series of steps until a desired result is achieved.  Each repetition builds upon the results of the previous one.
","The software development process used an iterative approach, releasing updates in short cycles based on user feedback.
"
jailer,狱卒,"A person who manages and guards a prison.
","The jailer brought the prisoner a meager meal.
"
jamb,侧柱,"It's the upright post of a doorway or window frame.
","The door was stuck in its jamb.
"
jangle,争吵,"To make a series of short, sharp, ringing sounds.
","The keys jangled in his pocket as he walked.
"
jarringly,令人震惊地,"In a way that is unexpectedly harsh or unpleasant; shockingly.
","The silence after the explosion was jarringly abrupt.
"
jaunty,轻快的,"Having or expressing a lively, cheerful, and self-confident manner.
","He strolled down the street with a jaunty gait, whistling a cheerful tune.
"
jeepers,车友,"An exclamation expressing surprise, astonishment, or dismay.
","Jeepers, that was close!
"
jeggings,jeggings,"A close-fitting garment made of stretchy fabric, resembling both jeans and leggings.
","She paired her tunic top with black jeggings for a comfortable yet stylish outfit.
"
jettison,抛弃,"To throw or drop something from a moving vehicle, especially an aircraft or ship, usually to lighten the load in an emergency.
","Facing a storm, the captain ordered the crew to jettison the cargo to lighten the ship.
"
jettisoned,抛弃,"To have gotten rid of something, typically by throwing it away, especially in order to lighten a load or to get rid of something unwanted or burdensome.
","The sinking ship jettisoned its cargo in a desperate attempt to stay afloat.
"
jetty,码头,"A structure extending from the shore into the water, often built to protect a harbor or coastline from erosion or to guide ships into a channel.
","The fishing boat bobbed gently beside the rocky jetty.
"
jibes,嘲笑,"To make fun of someone in a teasing way, often with irony or sarcasm.
","The comedian's jibes about the politician's hair were met with mixed reactions from the audience.
"
jilted,suddenly reject or abandon (a lover),"Rejected by someone you were romantically involved with.
","Jilted at the altar, she vowed never to trust a man again.
"
jitters,紧张不安,"A feeling of nervousness or anxiety, often accompanied by physical symptoms like trembling or shaking.
","The singer, despite years of experience, still had the jitters before going onstage.
"
jittery,紧张的,"Characterized by uncontrollable trembling or shaking, often due to nervousness or anxiety.
","After three hours of sleep, she felt jittery and unable to focus on her presentation.
"
jocular,诙谐,"Characterized by or given to joking; playful; humorous.
","The jocular bartender kept the customers entertained with his witty jokes and playful banter.
"
joist,托梁,"A horizontal structural member used to support a floor or ceiling.
","The carpenter carefully measured and installed the joists to support the new floor.
"
jolt,颠簸,"A sudden, sharp, and brief shock.
","The sudden braking of the car gave me a jolt.
"
jostling,争吵,"Pushing and shoving roughly against one another.
","The crowds jostling in the marketplace made it difficult to find my friend.
"
joys of verse,诗歌的乐趣,"The pleasures and satisfactions derived from writing, reading, or experiencing poetry.
","Lost in the joys of verse, she spent the entire afternoon crafting a perfect sonnet.
"
jubilent,庆幸,"Feeling or expressing great joy, especially due to success.
","The jubilant crowd cheered as their team scored the winning goal.
"
judicious,明智的,"Showing good judgment; wise and careful.
","The judge's judicious use of evidence led to a fair verdict.
"
juggernaut,"a huge, powerful, and overwhelming force or institution","An irresistible force that crushes everything in its path.  It can refer to a powerful, overwhelming person, organization, or force.
","The company's new marketing campaign was a juggernaut, crushing all competition and dominating the market.
"
juggernaut,剑圣,"An irresistible force; something of immense power that crushes everything in its path.  It can refer to a powerful person, organization, or movement.
","The company's new marketing campaign was a juggernaut, crushing all competition and dominating the market.
"
jumbled,错杂,"A disordered or confused mass.
","The jumbled papers on his desk suggested a mind equally chaotic.
"
"jump the shark
","(of a television series or movie) reach a point at which far-fetched events are included merely for the sake of novelty, indicative of a decline in quality.","To have passed a point of no return, to have irrevocably declined in quality and relevance, often after a period of initial success.  The peak has been reached and the subsequent decline is evident.
","The sitcom ""jumped the shark"" when they introduced a talking dog.
"
juxtapose,并列,"To place or deal with close together for contrasting effect.
","The museum curator cleverly juxtaposed a Roman statue with a modern sculpture, highlighting the contrast in artistic styles.
"
kaleidoscope,万花筒,"A constantly changing pattern or scene, formed from the reflections of multiple images, often featuring vibrant colors and symmetrical designs.
","The fireworks display created a kaleidoscope of color in the night sky.
"
keeled over,倾覆,It suggests a dramatic collapse,"The old oak tree, weakened by the storm, keeled over in a dramatic crash.
"
kerfuffle,骚乱,"A brief and typically noisy disturbance or argument.
","A minor kerfuffle erupted in the town square when the ice cream truck broke down.
"
kernel,核心,"The core, the most essential part, or the seed from which something grows.
","The **kernel** of the corn was sweet and juicy.
"
kibosh,胡说,"To put a stop to something; to suppress or end something abruptly.
","The teacher put the kibosh on any further discussion of the topic.
"
kinsmen,亲属,"Close male relatives.
","My kinsmen gathered at the family reunion, sharing stories and laughter.
"
kismet,天命,"It's the idea that events are predetermined and inevitable, a kind of destiny or fate.  It suggests an inescapable and often fortuitous outcome.
","Their chance meeting at the coffee shop felt like kismet.
"
klutz,笨手笨脚,"A person who is clumsy and awkward, often tripping or bumping into things.
","That klutz tripped over the cat again!
"
knead,揉,"To work (something, typically dough or clay) into a uniform mixture by pressing, stretching, and folding.
","Before baking the bread, I had to knead the dough for ten minutes.
"
knottiest,最棘手的,"Most difficult to understand or solve;  full of complexities and complications.
","The knottiest problem facing the team was how to integrate the new software with the existing system.
"
knotty,棘手,"Complex, difficult, and full of problems.
","Solving the knotty problem of climate change requires international cooperation.
"
kooky,怪异的,"Eccentric, whimsical, and slightly crazy in a charming way.
","My aunt Mildred has a kooky collection of porcelain frogs.
"
laceration,裂伤,"A jagged or irregular tear in the flesh.
","The accident resulted in a deep laceration on his arm requiring stitches.
"
lackadaisically,无精打采地,"In a listless, unenthusiastic, and careless manner.
","He lackadaisically flipped through the pages of the book, his mind far from the words.
"
laconic,简洁,"Using very few words.
","The laconic reply, ""No,"" ended the tense negotiation.
"
lacquer,漆,"A protective, usually shiny coating made from a resin dissolved in a solvent.  It's often used to seal and decorate wood or metal.
","The antique table gleamed, its surface protected by a thick layer of lacquer.
"
lacrimal,泪腺,"Relating to tears or tear production.
","The surgeon carefully repaired the damage to the patient's lacrimal duct, restoring proper tear drainage.
"
ladled,舀,"Served or distributed with a large spoon.
","The cook ladled hearty portions of stew into each bowl.
"
lambast,揍,criticize someone or something severely,"The critic lambasted the film, calling it a ""mindless, incoherent mess.""
"
lambasted,受到严厉批评,"Criticized harshly and publicly.
","The coach lambasted the team for their lackluster performance in the game.
"
lament,哀叹,"express deep sorrow or regret, often in a mournful way.","She lamented the loss of her childhood home.
"
landslide,滑坡,"A rapid mass movement of rock, debris, or earth down a slope.
","The landslide buried the road, cutting off the mountain village.
"
languid,慵懒的,"It suggests a state of weariness, laziness, or indifference.","The languid afternoon sun cast long shadows across the dusty courtyard.
"
languid,疲惫,"Characterized by slowness and lack of energy; drooping; listless.
","The languid afternoon sun cast long shadows across the dusty courtyard.
"
languish,憔悴,"To exist in a state of neglect or unhappiness, often characterized by a feeling of being forgotten or ignored, and becoming weak or feeble.
","The abandoned dog languished in the shelter, desperately hoping for adoption.
"
lanky,瘦高,"Tall and thin, often suggesting a lack of muscle or physical strength.
","The lanky teenager tripped over his own feet while trying to shoot a basketball.
"
lapel,翻领,"The folded part of a coat or jacket that is attached to the collar and usually has a buttonhole.
","He adjusted his tie, smoothing it against his jacket lapel.
"
lard,猪油,"It's a rendered fat from pigs, often used in cooking.
","The baker used lard to make the pie crust flaky.
"
largesse,慷慨,"Generous giving or the act of giving generously, often involving a significant amount of money or gifts.  It implies a lavish or bountiful nature in the giving.
","The billionaire's largesse funded the new children's hospital.
"
lar'gesse,慷慨的,"generosity in giving gifts, especially money","The billionaire's lar'gesse allowed the university to build a new science wing.
"
lascivious,好色,"Suggestive of or tending towards unchastity; sexually wanton.
","The lascivious glances he cast across the room made several women uncomfortable.
"
latency,潜伏,"The delay between a cause and effect.  The time it takes for something to respond.
","The high latency of the internet connection made online gaming frustrating.
"
lath,板条,"A thin, narrow strip of wood, metal, or plaster used as a base for something else.
","The builder used thin strips of wood **lath** to create a framework for the plaster walls.
"
lathe,车床,"A machine for shaping wood, metal, or other material by rotating it against a cutting tool.
","The woodworker carefully shaped the leg of the table using a lathe.
"
latrines,厕所,"A place with toilets and sinks, often shared by many people, especially in a public place or a military camp.
","The soldiers huddled in the freezing rain, seeking meager shelter in the makeshift latrines.
"
laud,赞美,"To praise highly; to extol.
","The critics lauded the young author's debut novel.
"
laudable,值得称赞,"Deserving praise and commendation.
","Her tireless work for the homeless shelter is a laudable effort.
"
laudatory,赞扬的,describe speech or writing that is full of praise,"The critic penned a laudatory review of the young artist's groundbreaking exhibition.
"
laurel,月桂树,"A symbol of victory or achievement, often represented by a wreath worn as a crown.  It can also refer to a type of evergreen tree or shrub.
","The poet received a laurel wreath for winning the prestigious award.
"
layabout,闲逛,"A person who is lazy and avoids work.
","That layabout hasn't worked a day in his life.
"
layabout,不务正业的人,a lazy person who avoids work,"That layabout hasn't worked a day in his life.
"
leaching,浸出,"The process where soluble components are dissolved and removed from a substance by a percolating liquid.
","Excessive rainfall caused leaching of nutrients from the topsoil.
"
leaps and bounds,跨越式发展,"Rapidly and significantly.
","Her understanding of calculus improved in leaps and bounds after she started attending the tutoring sessions.
"
lecherous,好色的,"Characterized by or expressing strong sexual desire; lustful.  Often implies a predatory or exploitative nature.
","The lecherous old man made inappropriate advances toward the young woman.
"
lecherous,好色,t often implies a predatory or unwelcome sexual desire.,"The lecherous old man made several unwelcome advances towards the young woman.
"
leech off,吸血,"To benefit unfairly or parasitically from someone or something else, exploiting their resources or generosity without giving anything in return.
","He tried to leech off his wealthy uncle's generosity for as long as possible.
"
leering,送秋波,"A suggestive or lascivious gaze, often with a smirk or unpleasant expression.
","The creepy man leered at the young woman on the street.
"
leery,持怀疑态度,"Suspicious or wary.
","I'm leery of that deal; it sounds too good to be true.
"
leniency,宽大,It implies a willingness to be less strict or severe in judging or punishing someone.,"The judge showed leniency, giving the first-time offender a suspended sentence.
"
lenient,宽容,"Showing a forgiving attitude, especially towards someone who has done something wrong; tolerant.
","The judge was lenient with the first-time offender, giving him probation instead of jail time.
"
leotard,紧身连衣裤,"A close-fitting, one-piece garment, typically worn by dancers or gymnasts.
","The ballerina gracefully stretched in her pink leotard before the performance.
"
leper,麻风病人,"A person afflicted with a chronic, disfiguring disease, historically associated with social isolation and stigma.
","The leper was shunned by the villagers, forced to live alone outside the city walls.
"
lest,免得,"For fear that; to avoid the risk of.
","He double-checked the locks lest someone break in.
"
lethargic,昏睡,"Feeling sluggish and lacking energy;  apathetic and indifferent.
","After a week of little sleep and too much work, she felt lethargic and unable to even make a cup of coffee.
"
"leukemia
",白血病,"A type of cancer of the blood-forming tissues, hindering the body's ability to fight infection.
","Her grandmother's battle with leukemia was long and difficult.
"
levee,大堤,"A large embankment built to prevent a river from overflowing.
","The Mississippi River levee broke during the flood, inundating the nearby town.
"
levity,轻浮,"a lack of seriousness or a tendency to be frivolous, especially in a situation that calls for solemnity","The comedian's levity helped ease the tension in the room after the serious presentation.
"
levity,轻度,"A lightness or lack of seriousness; often expressed through humor.
","The comedian's levity helped ease the tension in the room.
"
lewdness,淫荡,"Behavior that is sexually suggestive or indecent, often considered offensive or vulgar.
","The comedian's act, though hilarious to some, was ultimately shut down due to its excessive lewdness.
"
lexicon,词库,"A complete vocabulary of a language, or a specialized subject or field.  It can also refer to a dictionary.
","The ancient Greek lexicon contained words no longer in common use.
"
libel,诽谤,"A false and defamatory statement that is published or communicated to a third party, causing harm to the reputation of the person it refers to.
","The journalist was sued for libel after publishing a false article claiming the politician had embezzled funds.
"
lickety-split,迅速,"Very quickly; immediately.
","The mailman delivered the package lickety-split after I'd placed the order.
"
liken,比喻,"To compare something to something else, often to explain or clarify.
","Critics liken the band's new album to a sonic landscape of swirling emotions.
"
limber,富有弹性的,"Flexible and supple.
","The gymnast performed a series of limber stretches before her routine.
"
limerick,五行打油诗,"A humorous five-line poem with a specific rhyming scheme (AABBA) and a distinctive rhythm.  The first, second, and fifth lines rhyme with each other and are longer than the third and fourth lines, which also rhyme with each other.
","He wrote a limerick, quite witty and grand,  About a fat fellow from the land.
"
liminal,阈限,"It describes a space, time, or state that is in between two others; a threshold, a transition, a point of ambiguity.  It's neither fully one thing nor fully another.
","The hallway, dimly lit and echoing, felt liminal, a space between the bustling office and the quiet solitude of home.
"
linchpins,关键,"A crucial element or figure whose presence is essential for the success of an operation or project.  Something that holds everything together.
","The experienced salespeople were the linchpins of the company's success, consistently exceeding sales targets.
"
lintel,楣,"A horizontal structural member spanning an opening, such as a doorway or window, and carrying the weight of the structure above it.
","The heavy stone lintel above the doorway was carved with intricate designs.
"
lithe,轻盈,"Characterized by flexibility and grace.
","The lithe dancer moved across the stage with effortless grace.
"
livid,铁青,"Extremely angry; enraged.  The color of a bruise.
","Livid with rage, she slammed the door.
"
lo and behold,"used to present a new scene, situation, or turn of events, often with the suggestion that although surprising, it could in fact have been predicted.","Surprise!  Look what appeared unexpectedly!
","I searched high and low for my lost keys, and lo and behold, they were in my pocket the whole time!
"
loamy,肥沃的,"A soil type that's a happy medium:  It's neither too sandy nor too clayey, offering a good balance of water retention and drainage, making it ideal for plant growth.
","The gardener worked the loamy soil, its rich texture perfect for planting tomatoes.
"
loathing,厭惡,"A feeling of intense disgust and hatred.
","She looked at the overflowing dumpster with utter loathing.
"
loathsome,讨厌的,"Extremely unpleasant; repulsive.
","The loathsome smell of rotting garbage filled the alley.
"
lofty,高远,"Elevated in position, character, or thought.
","The eagle soared to lofty heights above the mountains.
"
loggerheads,相持不下,"At odds; engaged in a stubborn dispute.
","The neighbors were at loggerheads over the property line.
"
logjam,僵局,"A complete blockage, typically caused by an accumulation of obstacles.  This often prevents movement or progress.
","The Senate was in a logjam over the budget, unable to reach a compromise.
"
loll,"sit, lie, or stand in a lazy, relaxed way","To relax or recline lazily; to hang loosely.
","The dog lolled its tongue out in the summer heat.
"
longitudinal,纵向,"It refers to a study design that involves repeated observations of the same subjects over an extended period of time.
","The researchers conducted a longitudinal study, following the same group of children for ten years to track their development.
"
loony,疯子,"Mentally unbalanced; crazy; insane.
","That loony ran down the street screaming about aliens.
"
looting,抢劫,"The act of stealing, especially during a time of chaos or emergency, often from a place that has been damaged or where authority is absent.
","After the hurricane, widespread looting occurred in the devastated city.
"
loped,慢跑,"To move at a steady, easy pace, especially with a long, bounding stride.
","The cheetah loped gracefully across the savanna.
"
loquacious,贫嘴,"Characterized by excessive talkativeness.
","The loquacious auctioneer kept the crowd entertained with his endless chatter.
"
lore,知识,"A body of traditional knowledge, beliefs, customs, or practices, especially those of a people or group.
","The ancient lore of the forest warned against venturing beyond the whispering willows.
"
lucid,清醒的,"Easily understood; clear and intelligible.
","After the surgery, the patient gave a lucid account of the accident.
"
ludicrous,滑稽的,"Utterly ridiculous; absurd.  Something so unreasonable as to be laughable.
","His claim that he'd wrestled a bear was ludicrous.
"
lu'gubrious,悲哀的,excessively sad or mournful,"The lu'gubrious music perfectly matched the somber mood of the funeral.
"
lugubrious,阴郁的,"Characterized by mournful, dismal, or gloomy character.
","The lugubrious funeral procession moved slowly through the rain-slicked streets.
"
lugubrious,凄凉的,"Characterized by mournful and gloomy expression or behavior.
","The lugubrious funeral procession moved slowly through the rain-soaked streets.
"
lull,麻痹,"A temporary period of calm or quiet, especially after a period of activity or excitement.
","The storm's fury lulled, leaving behind a peaceful, quiet evening.
"
lunatic asylum,疯人院,"A historical institution for the confinement and treatment of people with mental illnesses.  The term carries a strong connotation of inhumane conditions and outdated practices.
","After his breakdown, he was confined to a lunatic asylum.
"
lurch,困境,"To move suddenly and unexpectedly in a jerky or unsteady way.
","The old house lurched violently in the earthquake.
"
lurid,耸人听闻,"shocking, sensational, or gruesome","The newspaper ran a lurid account of the celebrity scandal, filled with salacious details.
"
lustre,光泽,"A gentle sheen or soft glow, especially that of a partly reflective surface.
","The antique silver had lost much of its lustre over the years.
"
lynch,私刑,"kill someone, especially by hanging, by mob action without legal authority","An angry mob tried to **lynch** the accused thief.
"
lynched,私刑处死,"To be murdered by a mob, often by hanging, typically due to an accusation of a crime, without a legal trial.
","The newspaper reported that three men were lynched by a mob outside the town.
"
lynching,私刑,"The illegal killing of a person, usually by a mob, often by hanging, without due process of law.  It's a violent act fueled by racism and hatred, historically targeting specific racial and ethnic groups.
","The horrific lynching of three Black men in 1920 shocked the nation.
"
machiavellian,machiavellian,"Cunning, scheming, and amoral in the pursuit of power; characterized by subtle but ruthless methods.
","The CEO's machiavellian strategy involved subtly undermining his rivals to secure the promotion.
"
maelstrom,漩涡,"A powerful, often violent whirlpool; a turbulent situation or state of affairs.
","The tiny sailboat was tossed about like a leaf in the maelstrom of the hurricane's winds.
"
maelstrom,大漩涡,describe a chaotic or turbulent situation,"The tiny sailboat was tossed about like a leaf in the maelstrom of the hurricane's winds.
"
maestro,大师,"A highly skilled and accomplished expert, especially in the field of music, often commanding great respect and admiration.
","The maestro conducted the orchestra with effortless grace.
"
magisterial,权威的,"It implies a commanding or authoritative manner, often associated with someone who is knowledgeable or experienced","The judge delivered a magisterial pronouncement, silencing the courtroom.
"
magisterial,大法官,"Having or showing great authority and wisdom; commanding and impressive.
","The judge delivered a magisterial pronouncement, silencing the courtroom.
"
magnanimity,气度,"It involves a willingness to be kind and understanding, especially towards those who have wronged us","Despite being cheated out of a significant victory, the athlete showed magnanimity, congratulating his opponent and praising their performance.
"
magnanimous,坦荡,"Showing or suggesting generosity or forgiveness, especially toward a rival or someone less powerful than oneself.
","Despite the harsh criticism, the magnanimous author accepted the feedback with grace and used it to improve his work.
"
